ride_id,customer_id,driver_id,city,pickup_area,drop_area,pickup_time,vehicle_type,distance_km,duration_min,demand_level,nearby_drivers,weather,surge_multiplier,base_fare,final_fare,payment_method,ride_status,customer_rating
RPD101079,CUST3254,,bangalore,Whitefield,Koramangala,16-Jun-2026 05:18 PM,bike,9.17,3.8,Medium,18.0,Fog,1.06,70.02,74.22,Cash,Cancelled by Customer,
RPD103759,CUST1001,,mumbai,Colaba,Bandra,18/06/2026 02:38,Cab Economy,4.7,23.8,Very High,7.0,Rain,1.92,71.4,137.09,cash ,Cancelled by Customer,
RPD104494,CUST2244,,bangalore,Koramangala,Whitefield,28/06/2026 16:57,Auto,19.48,11.4,Medium,23.0,,1.22,190.32,232.19,Card,Cancelled by Customer,
RPD100146,CUST2233,DRV374,Pune,Hinjewadi,Viman Nagar,2026-06-27 12:49:00,Auto,17.13,15.5,Low,19.0,Fog,1.0,169.17,169.17,,Cancelled by Driver,
RPD100428,CUST2117,DRV676,Hyderabad,Banjara Hills,Madhapur,2026-07-02 14:31:00,Cab Economy,2.2,13.9,Low,12.0,Clear,1.0,41.4,41.4,cash ,COMPLETED,3.8
RPD100319,CUST1664,DRV248,bangalore,Electronic City,MG Road,25-Jun-2026 11:50 PM,,4.42,17.6,Low,22.0,Cloudy,1.0,68.04,68.04,Cash,COMPLETED,4.1
RPD102497,CUST2082,DRV653,BANGALORE,MG Road,MG Road,2026-06-28 12:01:00,,3.79,9.0,Low,26.0,Clear,1.0,60.48,60.48,Cash,COMPLETED,4.0
RPD101902,CUST3272,DRV131,Mumbai,Colaba,Borivali,2026-07-02 14:00:00,BIKE,1.88,11.2,Very High,18.0,Heavy Rain,1.96,26.28,51.51,Cash,COMPLETED,4.5
RPD104098,CUST3048,,Bengaluru,Koramangala,Jayanagar,28-Jun-2026 03:13 PM,,7.76,11.6,Very High,10.0,Heavy Rain,1.91,108.12,206.51,Card,Cancelled by Customer,
RPD103210,CUST1698,DRV734,bangalore,Jayanagar,HSR Layout,15/06/2026 10:31,auto,7.04,12.1,Low,13.0,Heavy Rain,1.04,78.36,81.49,UPI,Completed,4.4
RPD100460,CUST3137,DRV293,BANGALORE,MG Road,Koramangala,07-Jul-2026 08:50 PM,,0.94,7.8,Very High,11.0,Clear,1.94,26.28,50.98,,Completed,4.4
RPD102718,CUST3347,DRV325,bangalore,MG Road,HSR Layout,10-Jul-2026 08:16 PM,Cab Premium,7.58,16.0,Very High,16.0,Cloudy,1.86,151.44,281.68,Wallet,Completed,4.3
RPD103069,CUST1169,DRV502,Bengaluru,Indiranagar,Koramangala,2026-06-06 02:20:00,auto,5.33,18.1,Low,17.0,Clear,1.0,62.97,62.97,UPI,Ongoing,
,,,,,,,,,,,,,,,,,,
RPD104588,CUST3664,DRV202,BANGALORE,MG Road,Whitefield,2026-06-14 06:20:00,Cab Economy,8.27,16.9,Medium,14.0,Clear,1.02,114.24,116.52,wallet,Ongoing,
RPD103795,CUST3261,DRV206,Bengaluru,MG Road,Indiranagar,2026-06-19 13:06:00,auto,4.29,19.1,Low,11.0,,1.02,53.61,54.68,Cash,Completed,4.9
RPD101180,CUST2903,DRV121,Bengaluru,Whitefield,Whitefield,20-Jun-2026 02:56 PM,,-3.75,19.6,Low,32.0,Cloudy,1.0,16.2,16.2,Cash,Cancelled by Driver,
RPD102838,CUST2746,DRV603,Bangalore,Indiranagar,Whitefield,2026-07-08 05:41:00,Auto,7.6,23.3,Very High,19.0,Heavy Rain,1.82,83.4,151.79,wallet,completed,4.9
RPD101190,CUST3408,,hyderabad ,Gachibowli,Hitech City,19-Jun-2026 11:31 PM,bike,3.38,12.3,Low,18.0,Clear,1.1,35.28,38.81,Card,Cancelled by Customer,
RPD100736,CUST2402,DRV402,mumbai,Dadar,Borivali,2026-06-22 04:58:00,Cab Economy,3.06,6.5,Medium,20.0,,1.23,51.72,63.62,,completed,4.5
RPD104252,CUST2715,DRV175,Bangalore,Jayanagar,Koramangala,2026-06-09 23:33:00,auto,6.99,24.5,Low,17.0,Clear,1.03,77.91,80.25,UPI,Ongoing,
RPD100326,CUST2365,DRV449,Pune,Baner,Hinjewadi,22-Jun-2026 11:35 AM,auto,1.04,23.7,Low,31.0,Heavy Rain,1.0,24.36,24.36,wallet,Completed,5.0
RPD101499,CUST3043,,Pune,Viman Nagar,Baner,2026-06-19 07:28:00,Cab Economy,9.02,6.3,Medium,22.0,Rain,1.15,123.24,141.73,wallet,Cancelled by Customer,
RPD104448,CUST3673,DRV485,hyderabad ,Banjara Hills,Hitech City,2026-06-26 06:19:00,Cab Premium,1.43,40.2,Medium,23.0,,1.15,40.74,46.85,Cash,Completed,5.0
RPD100474,CUST2348,DRV418,Pune,Camp,Baner,2026-06-21 00:25:00,Bike,5.3,22.7,Low,19.0,,1.01,46.8,47.27,upi,completed,4.9
RPD101137,CUST1269,DRV416,mumbai,Bandra,Dadar,05-Jul-2026 02:01 AM,Bike,6.37,35.6,Low,18.0,Clear,1.01,53.22,53.75,Cash,completed,4.6
RPD101906,CUST2173,DRV789,hyderabad ,Banjara Hills,Madhapur,10/06/2026 21:44,cab economy,4.11,21.2,Medium,18.0,Cloudy,1.29,64.32,82.97,Card,Completed,4.8
RPD102424,CUST1439,DRV595,Bangalore,MG Road,Whitefield,2026-06-15 12:41:00,BIKE,1.74,17.1,Medium,20.0,Clear,1.06,25.44,26.97,,COMPLETED,4.9
RPD104398,CUST1958,DRV419,mumbai,Borivali,Colaba,07/07/2026 16:05,BIKE,8.6,9.1,Low,20.0,Heavy Rain,1.0,66.6,66.6,Cash,Cancelled by Driver,
RPD101179,CUST1006,DRV652,Bangalore,Whitefield,Jayanagar,2026-06-19 04:09:00,auto,8.57,12.0,Low,14.0,Fog,1.0,92.13,92.13,cash ,completed,3.9
RPD103028,CUST1872,DRV493,mumbai,Colaba,Dadar,07-Jul-2026 06:49 PM,auto,10.3,12.2,High,9.0,Rain,1.42,107.7,152.93,Cash,Cancelled by Driver,
RPD102493,CUST2495,DRV118,Bangalore,MG Road,Whitefield,18-Jun-2026 02:30 PM,auto,5.22,16.1,Medium,29.0,Clear,1.19,61.98,73.76,upi,Completed,3.9
RPD104010,CUST1898,DRV412,Hyderabad,Gachibowli,Madhapur,2026-06-18 08:57:00,BIKE,4.83,16.3,High,5.0,Rain,1.41,43.98,62.01,cash ,completed,4.8
RPD101803,CUST3136,DRV709,Pune,Hinjewadi,Camp,07/07/2026 11:33,bike,3.29,9.9,Low,32.0,Heavy Rain,1.0,34.74,34.74,wallet,completed,4.2
RPD103502,CUST2079,DRV558,mumbai,Borivali,Borivali,2026-07-13 05:39:00,bike,6.88,11.1,Low,10.0,,1.01,56.28,56.84,wallet,COMPLETED,4.6
RPD100980,CUST1802,DRV696,bangalore,HSR Layout,Electronic City,2026-06-04 19:41:00,Cab Economy,5.91,3.4,Very High,9.0,Clear,1.95,85.92,167.54,,Ongoing,
RPD102482,CUST3853,DRV581,BANGALORE,Whitefield,HSR Layout,02/06/2026 09:57,Cab Premium,0.5,22.4,Very High,7.0,Cloudy,1.77,24.0,42.48,Wallet,completed,4.2
RPD100774,CUST2680,DRV243,hyderabad ,Kukatpally,Kukatpally,30/06/2026 10:08,,3.53,31.4,Medium,16.0,,1.14,57.36,65.39,Cash,Completed,5.0
RPD103722,CUST1381,,Pune,Viman Nagar,Viman Nagar,2026-07-11 21:59:00,Cab Premium,10.01,29.9,Very High,9.0,Heavy Rain,1.88,195.18,366.94,Card,Cancelled by Customer,
RPD102583,CUST1932,DRV172,BANGALORE,HSR Layout,Whitefield,29/06/2026 17:53,Cab Economy,6.06,12.3,Low,21.0,,1.0,87.72,87.72,cash ,COMPLETED,4.1
RPD104840,CUST2325,DRV403,hyderabad ,Kukatpally,Kukatpally,2026-07-05 22:52:00,,0.88,20.4,Very High,20.0,Heavy Rain,1.92,25.56,49.08,Card,completed,4.3
RPD103024,CUST1939,DRV593,mumbai,Bandra,Bandra,2026-06-19 23:48:00,Cab Premium,3.6,23.5,Medium,15.0,Heavy Rain,1.21,79.8,96.56,upi,Completed,4.0
RPD103687,CUST2372,,mumbai,Colaba,Andheri,2026-06-24 03:19:00,auto,2.3,9.1,Low,28.0,Clear,1.08,35.7,38.56,wallet,Cancelled by Customer,
RPD102603,CUST3292,,Mumbai,Powai,Colaba,2026-06-17 01:49:00,bike,8.97,7.7,Low,22.0,Fog,1.0,68.82,68.82,upi,Cancelled by Customer,
RPD101445,CUST1003,DRV407,mumbai,Powai,Andheri,2026-06-14 08:49:00,Cab Premium,2.27,7.6,Very High,7.0,Cloudy,1.99,55.86,111.16,,Ongoing,
RPD102986,CUST3887,DRV470,Bangalore,Whitefield,MG Road,01-Jun-2026 09:43 AM,bike,4.49,17.5,Very High,7.0,Fog,1.89,41.94,79.27,,Completed,
RPD102417,CUST2152,,Bangalore,Electronic City,Indiranagar,2026-07-06 06:28:00,BIKE,5.19,33.0,Medium,17.0,Heavy Rain,1.16,46.14,,upi,Cancelled by Customer,
RPD103621,CUST1853,DRV583,Pune,Camp,Baner,09/06/2026 00:56,BIKE,1.63,23.7,Low,22.0,Cloudy,1.0,24.78,24.78,Wallet,COMPLETED,5.0
RPD102856,CUST3691,DRV278,hyderabad ,Madhapur,Kukatpally,15/07/2026 23:56,Bike,5.98,4.5,Low,10.0,Fog,1.0,50.88,50.88,,Cancelled by Driver,
RPD103124,CUST1040,DRV219,Pune,Camp,Baner,15/07/2026 13:44,Cab Economy,3.79,39.0,Low,19.0,Clear,1.0,60.48,60.48,wallet,COMPLETED,4.8
RPD100173,CUST1475,DRV564,Mumbai,Andheri,Colaba,2026-06-14 04:34:00,bike,1.95,15.7,Low,21.0,Heavy Rain,1.07,26.7,28.57,UPI,Completed,5.0
RPD102001,CUST3155,DRV207,Hyderabad,Gachibowli,Madhapur,23-Jun-2026 02:48 PM,,4.65,35.4,Low,9.0,,1.04,70.8,73.63,Wallet,COMPLETED,4.5
RPD100666,CUST2679,DRV470,mumbai,Powai,Bandra,2026-07-07 09:58:00,Cab Economy,3.03,13.2,Very High,14.0,Rain,1.9,51.36,97.58,upi,COMPLETED,4.6
RPD103449,CUST2136,DRV518,Pune,Baner,Camp,07/07/2026 17:05,BIKE,15.95,14.2,Low,21.0,Clear,1.05,110.7,116.24,UPI,Completed,3.5
RPD100641,CUST3698,DRV638,Hyderabad,Gachibowli,Banjara Hills,2026-07-13 09:59:00,Cab Premium,4.1,10.3,Very High,0.0,Cloudy,1.95,88.8,173.16,Card,Ongoing,
RPD100501,CUST1574,DRV582,Bengaluru,HSR Layout,Koramangala,01/06/2026 08:07,cab economy,10.37,19.0,High,11.0,Cloudy,1.37,139.44,191.03,Card,COMPLETED,4.6
RPD100150,CUST2962,DRV696,Mumbai,Borivali,Andheri,2026-06-27 21:31:00,BIKE,3.23,10.2,Low,21.0,,1.0,34.38,34.38,wallet,Ongoing,
RPD103179,CUST2415,DRV661,hyderabad ,Kukatpally,Madhapur,29-Jun-2026 07:12 PM,auto,9.29,16.3,Very High,0.0,Rain,1.92,98.61,189.33,wallet,COMPLETED,5.0
RPD100079,CUST2438,DRV760,Pune,Camp,Baner,04-Jul-2026 02:25 AM,BIKE,5.23,22.3,Low,3.0,Clear,1.0,46.38,46.38,Cash,Cancelled by Driver,
RPD104616,CUST1560,,hyderabad ,Gachibowli,Hitech City,2026-07-12 10:51:00,Cab Premium,7.34,6.5,Low,5.0,Rain,1.04,147.12,153.0,Wallet,Cancelled by Customer,
RPD103729,CUST2312,DRV219,bangalore,Koramangala,Electronic City,2026-07-06 20:05:00,cab economy,3.8,9.6,Very High,0.0,Fog,2.05,60.6,124.23,Card,Ongoing,
RPD101556,CUST1117,DRV164,Bengaluru,Electronic City,Koramangala,2026-07-15 14:28:00,Cab Economy,0.5,11.2,Medium,27.0,Heavy Rain,1.18,21.0,24.78,wallet,Completed,4.5
RPD103909,CUST3400,DRV331,Pune,Camp,Hinjewadi,01-Jul-2026 12:00 AM,,0.5,4.2,Low,16.0,Fog,1.0,21.0,21.0,Card,Cancelled by Driver,
RPD101821,CUST3982,DRV175,mumbai,Borivali,Andheri,2026-06-12 01:03:00,Bike,2.57,9.8,Medium,16.0,Cloudy,1.13,30.42,34.37,cash ,Completed,4.2
RPD103120,CUST3547,DRV702,hyderabad ,Banjara Hills,Hitech City,01/06/2026 14:08,Auto,4.67,14.5,Low,17.0,Fog,1.0,57.03,57.03,wallet,Completed,
RPD103789,CUST1435,,Bangalore,HSR Layout,Whitefield,13-Jul-2026 08:03 AM,bike,2.88,18.7,Very High,0.0,,1.83,32.28,59.07,upi,Cancelled by Customer,
RPD103229,CUST2720,DRV373,Bangalore,Indiranagar,MG Road,30/06/2026 23:38,bike,0.94,9.3,Medium,21.0,Fog,1.18,20.64,24.36,cash ,completed,3.6
RPD100743,CUST1808,,Bangalore,Indiranagar,Indiranagar,16/06/2026 18:48,Bike,4.4,16.8,Very High,12.0,Heavy Rain,1.91,41.4,79.07,upi,Cancelled by Customer,
RPD102377,CUST3457,DRV260,BANGALORE,MG Road,MG Road,12/07/2026 11:04,bike,2.75,9.9,Medium,23.0,Cloudy,1.18,31.5,37.17,Cash,Ongoing,
RPD101123,CUST3868,DRV503,BANGALORE,Electronic City,Koramangala,2026-06-13 03:26:00,,3.56,17.3,Medium,21.0,Heavy Rain,1.11,57.72,64.07,Cash,Completed,5.0
RPD102712,CUST3240,,Bengaluru,Electronic City,Indiranagar,2026-07-09 18:49:00,Cab Economy,0.92,25.2,Very High,5.0,Clear,1.86,26.04,48.43,,Cancelled by Customer,
RPD102351,CUST3165,DRV541,mumbai,Borivali,Bandra,18-Jun-2026 03:56 AM,bike,7.57,12.0,Low,21.0,Clear,1.0,60.42,60.42,wallet,COMPLETED,3.7
RPD103460,CUST3991,DRV599,Mumbai,Borivali,Colaba,2026-07-16 18:22:00,Cab Economy,6.85,24.1,Very High,14.0,Rain,1.86,97.2,180.79,UPI,Ongoing,
RPD100214,CUST1291,DRV583,mumbai,Bandra,Borivali,20-Jun-2026 01:50 PM,cab economy,6.33,29.0,Low,9.0,Clear,1.06,90.96,96.42,cash ,Ongoing,
RPD102688,CUST1526,DRV235,Hyderabad,Hitech City,Banjara Hills,2026-06-07 01:18:00,Cab Premium,18.08,32.1,Low,20.0,Cloudy,1.0,340.44,340.44,Card,COMPLETED,3.8
RPD104674,CUST3190,,Bengaluru,HSR Layout,Indiranagar,03/06/2026 13:07,cab economy,0.7,3.3,Medium,27.0,,1.13,23.4,26.44,UPI,Cancelled by Customer,
RPD102623,CUST2571,DRV131,Mumbai,Andheri,Bandra,14/06/2026 10:10,Bike,7.11,14.8,Low,25.0,,1.0,57.66,57.66,upi,Ongoing,
RPD102461,CUST1736,DRV203,BANGALORE,MG Road,HSR Layout,2026-07-15 03:16:00,cab economy,0.81,41.4,Very High,21.0,Rain,1.83,24.72,45.24,Card,Cancelled by Driver,
RPD103350,CUST3873,DRV255,Pune,Viman Nagar,Kothrud,06-Jul-2026 07:29 PM,Bike,1.24,3.0,Very High,8.0,Cloudy,1.86,22.44,41.74,Card,Cancelled by Driver,
RPD100195,CUST2069,DRV207,mumbai,Colaba,Dadar,07-Jun-2026 03:50 PM,BIKE,9.37,36.2,Low,15.0,Cloudy,1.0,71.22,71.22,upi,Cancelled by Driver,
RPD104732,CUST3911,DRV505,Bengaluru,Whitefield,Jayanagar,2026-07-04 12:02:00,cab economy,0.87,13.2,Very High,25.0,Heavy Rain,1.95,25.44,Rs. 49.61,wallet,Cancelled by Driver,
RPD101336,CUST1967,DRV472,Bangalore,Indiranagar,HSR Layout,01/07/2026 22:10,auto,6.21,3.9,Very High,20.0,Heavy Rain,1.94,70.89,137.53,wallet,Completed,4.2
RPD102646,CUST1865,DRV725,Hyderabad,Banjara Hills,Banjara Hills,2026-07-14 01:06:00,Bike,9.87,5.8,Low,14.0,Heavy Rain,1.0,74.22,74.22,wallet,completed,5.0
RPD103675,CUST1673,DRV781,BANGALORE,Koramangala,MG Road,13/06/2026 18:34,Bike,6.21,18.6,High,17.0,,1.48,52.26,77.34,cash ,COMPLETED,4.8
RPD102970,CUST1458,DRV749,BANGALORE,MG Road,Whitefield,07/07/2026 12:25,,9.95,32.2,Very High,25.0,Heavy Rain,1.91,134.4,256.7,Wallet,Completed,4.6
RPD100700,CUST2123,DRV740,Bangalore,Electronic City,Whitefield,2026-06-22 03:58:00,auto,2.09,32.7,Low,19.0,Clear,1.0,33.81,33.81,UPI,COMPLETED,4.9
RPD103645,CUST1595,DRV366,Pune,Kothrud,Camp,07/07/2026 08:31,bike,5.83,15.4,Very High,11.0,,1.95,49.98,Rs. 97.46,,Ongoing,
RPD101343,CUST3463,DRV119,BANGALORE,HSR Layout,Electronic City,2026-06-19 05:01:00,Auto,2.39,38.7,Low,18.0,Clear,1.0,36.51,36.51,upi,COMPLETED,4.3
RPD103160,CUST1468,DRV496,BANGALORE,HSR Layout,Koramangala,2026-07-11 12:52:00,cab economy,8.89,16.9,Very High,33.0,Rain,1.89,121.68,229.98,Card,COMPLETED,3.4
RPD104831,CUST1515,DRV223,hyderabad ,Hitech City,Banjara Hills,2026-07-05 06:03:00,Bike,3.09,36.1,Very High,19.0,Heavy Rain,1.87,33.54,Rs. 62.72,upi,Cancelled by Driver,
RPD100962,CUST3034,DRV435,Bengaluru,HSR Layout,Indiranagar,2026-06-09 12:41:00,Bike,0.55,18.8,Low,12.0,,1.0,18.3,18.3,wallet,Ongoing,
RPD101338,CUST2764,DRV436,BANGALORE,MG Road,Indiranagar,27-Jun-2026 01:56 PM,bike,2.44,14.2,Low,13.0,Fog,1.0,29.64,29.64,cash ,Ongoing,
RPD104712,CUST2185,DRV706,Bangalore,Electronic City,Jayanagar,2026-06-11 06:20:00,,1.0,33.8,Medium,24.0,,1.17,27.0,31.59,wallet,completed,4.0
RPD101663,CUST2310,DRV662,Bangalore,Indiranagar,Koramangala,23-Jun-2026 10:46 AM,Auto,0.88,5.5,Low,12.0,Fog,1.02,22.92,Rs. 23.38,Cash,Cancelled by Driver,
RPD100359,CUST3187,,mumbai,Dadar,Andheri,2026-07-11 14:47:00,Auto,1.25,9.5,Low,32.0,Cloudy,1.0,26.25,26.25,,Cancelled by Customer,
RPD101983,CUST2363,DRV127,Bengaluru,HSR Layout,HSR Layout,2026-06-11 19:41:00,,2.46,33.6,Very High,13.0,Fog,1.95,44.52,86.81,cash ,Cancelled by Driver,
RPD103520,CUST2685,DRV693,Bangalore,MG Road,Electronic City,21/06/2026 01:59,bike,5.34,18.1,Low,16.0,Clear,1.0,47.04,47.04,wallet,completed,5.0
RPD102254,CUST3469,DRV130,hyderabad ,Kukatpally,Gachibowli,2026-07-13 02:35:00,bike,12.8,4.1,Medium,22.0,,1.16,91.8,106.49,cash ,Completed,4.7
RPD104497,CUST2520,DRV602,Hyderabad,Madhapur,Banjara Hills,2026-07-06 02:20:00,Bike,9.66,12.8,Low,19.0,Clear,1.01,72.96,73.69,cash ,Completed,4.2
RPD104628,CUST2186,DRV240,Bengaluru,Whitefield,Jayanagar,2026-07-03 21:23:00,BIKE,3.52,22.8,Low,14.0,Fog,1.01,36.12,36.48,UPI,COMPLETED,4.9
RPD101916,CUST3277,DRV318,Bengaluru,MG Road,Indiranagar,11/07/2026 14:12,,2.77,16.9,Low,23.0,Fog,1.0,48.24,48.24,UPI,completed,3.7
RPD102797,CUST3856,DRV759,mumbai,Bandra,Bandra,08-Jul-2026 04:16 AM,,6.74,8.1,Low,27.0,,1.06,95.88,101.63,Wallet,completed,4.3
RPD103686,CUST2558,DRV210,BANGALORE,MG Road,Electronic City,16-Jul-2026 09:29 AM,cab economy,11.07,21.6,High,11.0,Heavy Rain,1.36,147.84,201.06,cash ,Completed,4.4
RPD100832,CUST2718,DRV125,Bengaluru,Electronic City,Indiranagar,2026-06-03 22:22:00,Cab Premium,3.38,23.0,Medium,19.0,Cloudy,1.18,75.84,89.49,Cash,COMPLETED,4.5
RPD102844,CUST1544,DRV146,hyderabad ,Gachibowli,Gachibowli,2026-07-02 17:33:00,auto,3.75,3.0,Low,17.0,Rain,1.01,48.75,49.24,cash ,Ongoing,
RPD104881,CUST1559,DRV407,Bengaluru,Koramangala,MG Road,2026-06-29 00:55:00,Cab Economy,4.64,6.3,Low,20.0,,1.06,70.68,74.92,,Completed,4.7
RPD103434,CUST2559,DRV606,Hyderabad,Banjara Hills,Hitech City,14-Jun-2026 03:26 PM,auto,6.31,7.0,Low,24.0,Fog,1.0,71.79,71.79,upi,Ongoing,
RPD102415,CUST3794,DRV775,Pune,Hinjewadi,Viman Nagar,17-Jun-2026 02:05 PM,auto,2.98,9.1,Medium,14.0,Clear,1.13,41.82,47.26,Cash,Cancelled by Driver,
RPD103416,CUST1901,,mumbai,Borivali,Andheri,2026-06-13 19:40:00,Bike,4.85,11.0,Very High,5.0,Rain,1.91,44.1,84.23,upi,Cancelled by Customer,
RPD101609,CUST3988,DRV725,Mumbai,Dadar,Andheri,2026-07-06 16:12:00,Cab Economy,9.65,5.9,Very High,18.0,Heavy Rain,1.97,130.8,257.68,wallet,Cancelled by Driver,
RPD100403,CUST2764,,Pune,Hinjewadi,Baner,2026-06-29 10:54:00,,9.24,25.5,Low,19.0,,1.02,125.88,128.4,Cash,Cancelled by Customer,
RPD103399,CUST2594,DRV709,Mumbai,Borivali,Powai,2026-06-23 07:37:00,,1.9,22.6,Very High,23.0,Rain,1.92,37.8,72.58,UPI,COMPLETED,4.3
RPD103499,CUST3432,DRV406,Mumbai,Powai,Dadar,2026-06-11 18:13:00,Cab Economy,12.02,4.9,Very High,8.0,Clear,1.95,159.24,310.52,,completed,4.7
RPD101243,CUST2666,DRV309,bangalore,MG Road,Indiranagar,10-Jun-2026 08:34 AM,,5.95,16.8,Very High,7.0,Cloudy,1.96,86.4,169.34,Cash,Ongoing,
RPD104472,CUST3852,DRV415,hyderabad ,Hitech City,Hitech City,2026-06-16 05:03:00,Auto,11.82,17.9,Low,19.0,,1.0,121.38,121.38,cash ,COMPLETED,5.0
RPD103599,CUST2945,DRV627,hyderabad ,Madhapur,Banjara Hills,09-Jul-2026 04:54 PM,Bike,10.33,15.3,Low,20.0,Cloudy,1.07,76.98,82.37,Card,Ongoing,
RPD103883,CUST1672,DRV207,Mumbai,Andheri,Dadar,13-Jun-2026 05:35 PM,Bike,4.12,14.7,Medium,27.0,,1.05,39.72,41.71,upi,completed,5.0
RPD103254,CUST2371,DRV537,hyderabad ,Gachibowli,Banjara Hills,2026-07-08 16:41:00,cab economy,21.68,15.3,Very High,14.0,Rain,1.93,275.16,531.06,Cash,Cancelled by Driver,
RPD101875,CUST3914,DRV170,Bengaluru,Whitefield,HSR Layout,06/07/2026 23:52,Auto,8.66,10.0,Medium,20.0,Cloudy,1.09,92.94,101.3,,Cancelled by Driver,
RPD100771,CUST2257,DRV563,mumbai,Colaba,Powai,05/06/2026 11:27,Auto,8.87,20.4,Low,16.0,Cloudy,1.0,94.83,94.83,wallet,completed,5.0
RPD100434,CUST2230,,hyderabad ,Banjara Hills,Kukatpally,14/07/2026 07:41,,7.57,17.1,Medium,27.0,Clear,1.25,105.84,132.3,Cash,Cancelled by Customer,
RPD102731,CUST2195,DRV290,hyderabad ,Kukatpally,Banjara Hills,2026-06-27 23:53:00,Cab Economy,7.38,19.0,Low,16.0,Fog,1.05,103.56,108.74,Wallet,completed,4.7
RPD100162,CUST1543,DRV355,hyderabad ,Gachibowli,Banjara Hills,16/07/2026 09:18,bike,4.55,7.9,High,0.0,Rain,1.45,42.3,61.33,Cash,COMPLETED,4.7
RPD104234,CUST2191,,mumbai,Dadar,Powai,19-Jun-2026 04:31 PM,bike,3.36,33.0,Low,23.0,,1.0,35.16,35.16,UPI,Cancelled by Customer,
